"","X","SiteID","Longitude.y","Latitude.x","Month","Year","Examined","Pf_pos","Pf_per","AvgTemp","MaxTemp","Precip","ALAN","PopDens","AGambiae","ALAN.lg","ALAN.trans"
"1",1,863702,35.4042,-23.717,4,2010,398,115,0.29,26,32.09082031,111.3511429,0.005802495,126.4729691,0.389016086,0.764362592311199,-0.745461741700898
"2",2,863702,35.4042,-23.717,6,2011,282,124,0.44,22.60000038,28.98609734,14.51339149,0.005802495,126.4729691,0.389016086,0.764362592311199,-0.745461741700898
"6",6,880838,26.789,-17.7372,4,2014,81,5,0.0617,22.5,28.26987076,85.17879486,0.000141297,19.42858696,0.018813679,-0.820169683320916,-1.28328901964632
"7",7,880838,26.8154,-17.7287,4,2016,26,0,0,22.60000038,29.04007721,174.5245667,0.000135057,19.42858887,0.024943156,-0.838461308653663,-1.28982763380801
"8",8,880838,26.7929,-17.7217,4,2015,54,0,0,22.60000038,28.54424477,116.2915649,0.000140406,19.42858887,0.024943156,-0.822734838512222,-1.28420477766984
"9",9,880917,27.0257,-17.6747,4,2015,31,1,0.0323,25.79999924,31.78192711,114.9206924,0.000119902,30.99627686,0.34265873,-0.886384162381343,-1.3070578575611
"10",10,880917,27.0702,-17.6654,4,2016,23,1,0.0435,26.39999962,32.38143921,170.5492249,0.000131627,30.99627876,0.380775831,-0.848853944151806,-1.2935516722967
"11",11,880917,27.0765,-17.6551,4,2014,56,22,0.3929,26.39999962,31.95175171,82.76032257,0.000144209,30.99627686,0.380775831,-0.811890279097799,-1.28033587823473
"12",12,880987,26.8076,-17.5118,4,2016,53,0,0,21.70000076,28.23787689,168.526535,0.00014264,19.42859077,0.068356484,-0.81633164263998,-1.2819195566109
"13",13,880987,26.8033,-17.5093,4,2014,71,25,0.3521,21.70000076,27.79048157,89.27529144,0.00014264,19.42859077,0.068356484,-0.81633164263998,-1.2819195566109
"14",14,880987,26.7939,-17.5083,4,2015,34,0,0,21.70000076,27.78371048,113.9400101,0.000142065,19.42858887,0.068356484,-0.817970733718334,-1.28250430144415
"15",15,880932,27.0942,-17.5045,4,2015,26,1,0.0385,25.60000038,31.53871727,116.3044662,0.000999063,30.99627686,0.501449761,0.00391828189422024,-1.00013570823242
"16",16,880932,27.1284,-17.4951,4,2014,55,15,0.2727,25.89999962,31.49576759,90.57554626,0.001501987,30.99627876,0.276893851,0.179548057135733,-0.941111275407265
"17",17,880932,27.1188,-17.495,4,2016,21,0,0,25.79999924,31.31853104,174.30867,0.001434365,30.99628067,0.430151765,0.159676956014113,-0.947780106851431
"18",18,880979,27.3593,-17.49,4,2016,32,0,0,26.60000038,32.35751343,171.2677765,0.001591,30.99627686,0.444035432,0.2043913319193,-0.932776606784473
"19",19,880979,27.3641,-17.4814,4,2014,54,9,0.1667,26.60000038,31.94622612,86.85984802,0.001769776,30.99627495,0.444035432,0.250365346081044,-0.917360566225944
"20",20,880979,27.3684,-17.479,4,2015,42,6,0.1429,26.60000038,31.90994072,118.423233,0.001953914,30.99627686,0.444035432,0.293122466066411,-0.903031518443105
"21",21,880921,27.2753,-17.4616,4,2015,21,5,0.2381,26.5,32.22154236,120.9032898,0.002789233,30.99627686,0.332703351,0.447039049378188,-0.851505068402573
"22",22,880921,27.2667,-17.4586,4,2014,49,16,0.3265,26.5,32.2654686,89.3170929,0.002977635,30.99627686,0.332703351,0.47532753853541,-0.842042846452626
"23",23,880921,27.2791,-17.4329,4,2016,24,0,0,26.29999924,32.42572784,178.0701904,0.003710523,30.99627876,0.28748631,0.570603993658469,-0.810188290684848
"24",24,880835,26.606,-17.4113,4,2014,67,0,0,21.60000038,27.79018021,85.22795868,0.000142161,19.42859077,0.0394728,-0.817696646219918,-1.28240651008129
"25",25,880835,26.6015,-17.4086,4,2016,46,0,0,21.60000038,28.21084023,146.052597,0.000142161,19.42859077,0.0394728,-0.817696646219918,-1.28240651008129
"26",26,880835,26.6205,-17.3987,4,2015,43,2,0.0465,21.5,27.79018021,100.7087097,0.00014312,19.42858887,0.0394728,-0.814968079567232,-1.28143322414689
"27",27,880836,27.2136,-17.3603,4,2014,40,5,0.125,25.89999962,31.34358025,98.36663818,0.1050535,30.99628067,0.285931321,2.02145186444127,-0.326196491302207
"28",28,880836,27.2235,-17.3601,4,2016,27,0,0,25.79999924,31.74444771,184.5306091,0.09689794,30.99628067,0.285931321,1.98635936174547,-0.337895151908921
"29",29,880836,27.221,-17.3594,4,2015,30,0,0,25.79999924,31.32361412,126.3208923,0.09689794,30.99628067,0.285931321,1.98635936174547,-0.337895151908921
"30",30,880924,27.3486,-17.3507,4,2015,27,4,0.1481,26.20000076,31.7399292,122.5632172,0.003076317,30.99627686,0.623574345,0.489440531020814,-0.837322971520227
"31",31,880924,27.3704,-17.3492,4,2014,56,30,0.5357,26.20000076,31.75642204,94.3298111,0.002223193,30.99628067,0.623574345,0.348926257873476,-0.884340944552929
"32",32,880924,27.3478,-17.345,4,2016,39,2,0.0513,26.20000076,32.17291641,176.5487366,0.003062135,30.99627876,0.623574345,0.487440296146858,-0.8379918888413
"33",33,880899,26.9143,-17.3214,4,2015,33,3,0.0909,21.60000038,27.7453022,110.4568024,0.000838801,19.42858887,0.022097902,-0.0711941174499932,-1.02544702015004
"34",34,880899,26.926,-17.3093,4,2014,58,36,0.6207,21.79999924,27.82905197,93.90888977,0.000722589,20.55576515,0.019548212,-0.135139606658597,-1.04703621799973
"35",35,880899,26.9197,-17.2991,4,2016,58,1,0.0172,21.60000038,28.23686409,164.8431549,0.0006227,21.61203384,0.019548212,-0.198802165540851,-1.0685737114262
"36",36,880830,26.7811,-17.2861,4,2014,51,13,0.2549,21.20000076,27.3977108,89.13671875,0.000273854,19.72940063,0.032800582,-0.546904981425577,-1.18749363708112
"37",37,880830,27.0874,-17.278,4,2015,33,0,0,20.79999924,26.76659203,118.0208282,0.002725074,72.09947205,0.211108495,0.436969081074165,-0.854873899954152
"38",38,880830,27.0849,-17.2758,4,2016,48,0,0,20.79999924,27.1707592,171.6317444,0.002725074,72.09947205,0.211108495,0.436969081074165,-0.854873899954152
"39",39,880841,27.0902,-17.2753,4,2014,60,22,0.3667,20.79999924,26.7695446,96.84654236,0.002725074,72.09947205,0.211108495,0.436969081074165,-0.854873899954152
